,school_name,english_rank,english_tested,english_score,english_image,math_rank,math_tested,math_score,math_image
434,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/worcester.xml#schools'>Midland Street</a>,146,23,74,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,478,23,52,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
435,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/bostonrenaissancecharter.xml#schools'>Boston Renaissance Charter  Public School</a>,190,146,71,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,478,146,52,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
436,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/gardner.xml#schools'>Elm Street School</a>,208,80,70,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,478,81,52,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
437,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/braintree.xml#schools'>Archie T Morrison</a>,247,62,68,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,478,62,52,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
438,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/pentucket.xml#schools'>Dr John C Page School</a>,247,60,68,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,478,60,52,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
439,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/southshorecharter.xml#schools'>South Shore Charter Public School</a>,279,44,66,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,478,44,52,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
440,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/hatfield.xml#schools'>Hatfield Elementary</a>,309,42,64,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,478,44,52,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
441,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/boston.xml#schools'>Joyce Kilmer</a>,378,48,60,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,478,48,52,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
442,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/watertown.xml#schools'>Cunniff</a>,378,45,60,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,478,46,52,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
443,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/weymouth.xml#schools'>Ralph Talbot</a>,378,50,60,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,478,50,52,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
444,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/wachusett.xml#schools'>Glenwood Elementary School</a>,378,127,60,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,478,128,52,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
445,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/agawam.xml#schools'>James Clark School</a>,427,69,57,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,478,69,52,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
446,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/everett.xml#schools'>Parlin School</a>,442,81,56,NA,478,81,52,NA
447,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/woburn.xml#schools'>Daniel P Hurld</a>,456,29,55,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,478,29,52,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
448,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/norwood.xml#schools'>Balch</a>,470,50,54,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,478,50,52,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
449,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/sutton.xml#schools'>Sutton Elementary</a>,484,120,53,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,478,120,52,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
450,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/avon.xml#schools'>Ralph D Butler</a>,498,61,52,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,478,60,52,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
451,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/danvers.xml#schools'>Riverside</a>,534,44,50,NA,478,44,52,NA
452,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lawrence.xml#schools'>Gerard A. Guilmette</a>,534,144,50,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,478,145,52,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
453,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/springfield.xml#schools'>Mary O Pottenger</a>,660,73,41,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,478,73,52,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
454,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/wellesley.xml#schools'>Joseph E Fiske</a>,79,51,80,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,455,17,53,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
455,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/worcester.xml#schools'>Columbus Park</a>,131,36,75,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,455,36,53,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
456,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/malden.xml#schools'>Forestdale</a>,159,62,73,NA,455,62,53,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
457,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/whitmanhanson.xml#schools'>John H Duval</a>,208,92,70,NA,455,92,53,NA
458,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/beverly.xml#schools'>Hannah Elementary</a>,225,61,69,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,455,62,53,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
459,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/andover.xml#schools'>West Elementary</a>,291,68,65,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,455,68,53,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
460,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/brookfield.xml#schools'>Brookfield Elementary</a>,363,44,61,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,455,45,53,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
461,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dudleycharltonreg.xml#schools'>Heritage School</a>,363,170,61,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,455,170,53,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
462,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/hilltowncooperativecharter.xml#schools'>Hilltown Cooperative Charter Public School</a>,378,20,60,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,455,19,53,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
463,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/somerset.xml#schools'>Wilbur</a>,414,19,58,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,455,19,53,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
464,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/waltham.xml#schools'>William F. Stanley Elementary School</a>,414,53,58,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,455,53,53,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
465,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/falmouth.xml#schools'>Mullen-Hall</a>,442,94,56,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,455,94,53,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
466,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/salem.xml#schools'>Witchcraft Heights</a>,456,64,55,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,455,64,53,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
467,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/pittsfield.xml#schools'>Robert T. Capeless Elementary School</a>,515,45,51,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,455,45,53,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
468,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/newbedford.xml#schools'>Sgt Wm H Carney Academy</a>,534,109,50,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,455,108,53,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
469,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/pelham.xml#schools'>Pelham Elementary</a>,534,18,50,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,455,19,53,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
470,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/quincy.xml#schools'>Atherton Hough</a>,534,38,50,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,455,38,53,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
471,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/springfield.xml#schools'>White Street</a>,534,42,50,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,455,40,53,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
472,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/boston.xml#schools'>Jackson Mann</a>,588,66,47,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,455,66,53,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
473,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lowellcommunitycharter.xml#schools'>Lowell Community Charter Public School</a>,611,86,45,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,455,87,53,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
474,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lawrence.xml#schools'>John K Tarbox</a>,626,62,44,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,455,62,53,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
475,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml#schools'>Brickett Elementary</a>,626,57,44,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,455,57,53,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
476,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/boston.xml#schools'>Samuel Adams</a>,758,37,32,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,455,38,53,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
477,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/stoughton.xml#schools'>Joseph H Gibbons</a>,247,56,68,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,441,54,54,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
478,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/agawam.xml#schools'>Clifford M Granger</a>,264,54,67,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,441,54,54,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
479,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/tyngsborough.xml#schools'>Tyngsborough Elementary</a>,279,145,66,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,441,145,54,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
480,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml#schools'>Lynn Woods</a>,351,37,62,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,441,37,54,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
481,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/taunton.xml#schools'>Joseph C Chamberlain</a>,401,113,59,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,441,113,54,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
482,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/northmiddlesex.xml#schools'>Spaulding Memorial</a>,414,93,58,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,441,93,54,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
483,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/waltham.xml#schools'>Northeast Elementary School</a>,442,48,56,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,441,48,54,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
484,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lowell.xml#schools'>Pyne Arts</a>,470,46,54,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,441,46,54,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
485,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/southwicktollandgranvilleregionalschooldistri.xml#schools'>Woodland Elementary</a>,470,104,54,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,441,106,54,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
486,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/rockland.xml#schools'>Memorial Park</a>,515,59,51,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,441,59,54,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
487,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dightonrehoboth.xml#schools'>Dighton Elementary</a>,515,72,51,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,441,72,54,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
488,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/barnstable.xml#schools'>Centerville Elementary</a>,534,48,50,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,441,50,54,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
489,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/brockton.xml#schools'>Louis F Angelo Elementary</a>,534,167,50,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,441,168,54,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
490,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/plymouth.xml#schools'>Hedge</a>,636,23,43,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,441,24,54,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
491,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/holliston.xml#schools'>Miller School</a>,159,218,73,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,424,217,55,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
492,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/berkshirehills.xml#schools'>Muddy Brook Regional Elementary School</a>,208,89,70,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,424,89,55,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
493,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lenox.xml#schools'>Morris</a>,247,59,68,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,424,58,55,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
494,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/wilmington.xml#schools'>North Intermediate</a>,264,175,67,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,424,174,55,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
495,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/narragansett.xml#schools'>Phillipston Memorial</a>,291,20,65,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,424,20,55,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
496,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/weymouth.xml#schools'>Thomas V Nash</a>,351,69,62,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,424,69,55,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
497,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/westfield.xml#schools'>Munger Hill</a>,378,62,60,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,424,64,55,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
498,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/westport.xml#schools'>Westport Elementary</a>,442,127,56,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,424,127,55,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
499,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/fallriver.xml#schools'>North End Elementary</a>,456,119,55,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,424,119,55,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
500,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/newbedford.xml#schools'>William H Taylor</a>,456,29,55,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,424,29,55,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
501,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lunenburg.xml#schools'>Turkey Hill Middle</a>,470,127,54,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,424,126,55,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
502,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/boston.xml#schools'>Phineas Bates</a>,597,54,46,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,424,55,55,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
503,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/cambridge.xml#schools'>Fletcher/Maynard Academy</a>,611,31,45,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,424,31,55,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
504,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/brookline.xml#schools'>Edward Devotion</a>,636,40,43,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,424,83,55,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
505,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/boston.xml#schools'>Mario Umana Academy</a>,660,29,41,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,424,29,55,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
506,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dartmouth.xml#schools'>George H Potter</a>,660,96,41,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,424,96,55,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
507,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lowell.xml#schools'>Charlotte M Murkland Elementary</a>,747,76,33,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,424,75,55,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
508,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/truro.xml#schools'>Truro Central</a>,131,16,75,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,408,16,56,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
509,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/deerfield.xml#schools'>Deerfield Elementary</a>,225,64,69,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,408,64,56,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
510,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/swampscott.xml#schools'>Clarke</a>,225,62,69,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,408,62,56,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
511,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/chelmsford.xml#schools'>South Row</a>,247,92,68,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,408,45,56,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
512,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/ipswich.xml#schools'>Winthrop</a>,264,48,67,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,408,48,56,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
513,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/billerica.xml#schools'>John F Kennedy</a>,279,70,66,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,408,70,56,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
514,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/northampton.xml#schools'>Leeds</a>,279,58,66,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,408,57,56,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
